Type_OS;Code_OS;CN sol C Fav;CN sol C Defav;CN sol D Fav;CN sol D Defav
batis denses;1;99;99;99;99
batis diffus;2;93;95;96;98
zones ind et com;3;99;99;99;99
routes;4;99;99;99;99
colza;5;88;89;92;93
cereales pailles;6;88;89;92;93
protéagineux;7;88;89;92;93
soja;8;90;93;94;96
tournesol;9;90;93;94;96
maïs;10;90;93;94;96
riz;11;90;93;94;96
tubercules racines;12;88;89;92;93
prairies;13;79;90;85;93
vergers;14;90;93;94;96
vignes;15;90;93;94;96
forets feuillus;16;75;78;82;84
forets coniferes;17;75;78;82;84
pelouses;18;79;90;85;93
landes ligneuses;19;70;75;78;82
